date,Bank description,Spent,Received,From/To,Transaction Posted
"10/04/2026","Mob Matthew Jones Salary","£500.00","","","Added to:  Expense: Wages and salaries control 10/04/2026 £500.00"
"10/04/2026","Openai Chatgpt Subscr Usd Rate","£18.13","","","Added to:  Expense: Subscriptions 10/04/2026 £18.13"
"10/04/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 10/04/2026 £1.50"
"07/04/2026","Ahrefs","£118.80","","","Added to:  Expense: Subscriptions 07/04/2026 £118.80"
"07/04/2026","Vm Cashback","","£1.76","","Added to:  Deposit: Bank charges 07/04/2026 £1.76"
"07/04/2026","Mob Matthew Jones Salary","£500.00","","","Added to:  Expense: Wages and salaries control 07/04/2026 £500.00"
"02/04/2026","Fps Searchflex Ltd March","","£2,250.00","Search Flex","Added to:  Payment: Debtors 02/04/2026 £2,250.00"
"02/04/2026","Next","£12.58","","","Added to:  Expense: Subscriptions 02/04/2026 £12.58"
"27/03/2026","Mob Fabric Academy","","£37.50","Fabric Academy","Added to:  Payment: Debtors 27/03/2026 £37.50"
"25/03/2026","Fps Talentdesk Limited Td Bxkmy","","£4,800.00","Save My Exams","Added to:  Payment: Debtors 25/03/2026 £4,800.00"
"25/03/2026","Intuit","£19.20","","","Added to:  Expense: Services 25/03/2026 £19.20"
"24/03/2026","Mob Matthew Jones Salary","£3,750.00","","","Added to:  Expense: Wages and salaries control 24/03/2026 £3,750.00"
"23/03/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 23/03/2026 £1.50"
"18/03/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 18/03/2026 £1.50"
"18/03/2026","Kingfisher","£60.00","","","Added to:  Expense: Legal and professional fees 18/03/2026 £60.00"
"16/03/2026","Mob Matthew Jones Salary","£750.00","","","Added to:  Expense: Wages and salaries control 16/03/2026 £750.00"
"16/03/2026","Google","£1.59","","Google","Added to:  Expense: Subscriptions 16/03/2026 £1.59"
"11/03/2026","Fps Talentdesk Limited Td Bxkmy","","£4,800.00","Save My Exams","Added to:  Payment: Debtors 11/03/2026 £4,800.00"
"06/03/2026","Card 13, Ahrefs","£118.80","","","Added to:  Expense: Subscriptions 06/03/2026 £118.80"
"05/03/2026","Fps Hex Digital Ltd","","£700.00","Hex Digital","Added to:  Payment: Debtors 05/03/2026 £700.00"
"05/03/2026","Fps Hex Digital Ltd","","£1,400.00","Hex Digital","Matched to:  multiple transactions"
"03/03/2026","Vm Cashback","","£1.69","","Added to:  Deposit: Bank charges 03/03/2026 £1.69"
"02/03/2026","Fps Searchflex Ltd Lt","","£2,000.00","Search Flex","Added to:  Payment: Debtors 02/03/2026 £2,000.00"
"02/03/2026","Next","£12.58","","","Added to:  Expense: Subscriptions 02/03/2026 £12.58"
"25/02/2026","Intuit","£19.20","","","Added to:  Expense: Services 25/02/2026 £19.20"
"19/02/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 19/02/2026 £1.50"
"19/02/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 19/02/2026 £1.50"
"19/02/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 19/02/2026 £1.50"
"18/02/2026","Kingfisher","£60.00","","","Added to:  Expense: Legal and professional fees 18/02/2026 £60.00"
"18/02/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 18/02/2026 £1.50"
"16/02/2026","Google","£1.59","","Google","Added to:  Expense: Subscriptions 16/02/2026 £1.59"
"10/02/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 10/02/2026 £1.50"
"10/02/2026","Openai Chatgpt Subscr Usd Rate","£17.77","","","Added to:  Expense: Subscriptions 10/02/2026 £17.77"
"06/02/2026","Ahrefs","£118.80","","","Added to:  Expense: Subscriptions 06/02/2026 £118.80"
"06/02/2026","Mob Fabric Academy","","£37.50","Fabric Academy","Added to:  Payment: Debtors 06/02/2026 £37.50"
"05/02/2026","Mob Matthew Jones Salary","£1,500.00","","","Added to:  Expense: Wages and salaries control 05/02/2026 £1,500.00"
"05/02/2026","Dfl Neil Patel Digital","","£2,400.00","NP Digital","Added to:  Payment: Debtors 05/02/2026 £2,400.00"
"03/02/2026","Fps Hex Digital Ltd","","£700.00","Hex Digital","Added to:  Payment: Debtors 03/02/2026 £700.00"
"03/02/2026","Vm Cashback","","£2.01","","Added to:  Deposit: Bank charges 03/02/2026 £2.01"
"02/02/2026","Next","£12.58","","","Added to:  Expense: Subscriptions 02/02/2026 £12.58"
"30/01/2026","Mob Matthew Jones Salary","£2,500.00","","","Added to:  Expense: Wages and salaries control 30/01/2026 £2,500.00"
"29/01/2026","Fps Paul C Singleton L","","£500.00","PCSCA","Added to:  Payment: Debtors 29/01/2026 £500.00"
"29/01/2026","Fps Type A Agency Ltd","","£2,400.00","Type A Media","Added to:  Payment: Debtors 29/01/2026 £2,400.00"
"26/01/2026","Intuit","£19.20","","","Added to:  Expense: Services 26/01/2026 £19.20"
"23/01/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 23/01/2026 £1.50"
"22/01/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 22/01/2026 £1.50"
"20/01/2026","Fgn Fee","£1.50","","","Added to:  Expense: Bank charges 20/01/2026 £1.50"
"19/01/2026","Kingfisher","£60.00","","","Added to:  Expense: Legal and professional fees 19/01/2026 £60.00"
"19/01/2026","Contentking","£166.80","","","Added to:  Expense: Subscriptions 19/01/2026 £166.80"
"14/01/2026","Fps","","£500.00","Mycogenius","Added to:  Payment: Debtors 14/01/2026 £500.00"
